auta;spnd;numa
Osann, Friedrich Gotthilf;44746;9/195 9/1557
Oerthel, Heerdegen & Co.;49319;9/197 9/277 9/1018
Sartorius, Georg Friedrich Christoph;45066;9/199 9/1367
Sternberg, Kaspar Maria Graf von;49782;9/205 9/574 9/607 9/998 9/1466 9/1576
Spiegel von und zu Pickelsheim, Karl Emil;41664;9/206 9/1104
Conta, Karl Friedrich Anton;43370;9/207 9/359 9/378 9/381 9/392 9/423 9/430 9/438 9/459 9/481 9/499 9/529 9/566 9/579 9/580 9/596 9/618 9/903 9/1021 9/1054 9/1359
Goethe, Ottilie von;43782;9/209 9/212 9/224 9/241 9/272 9/305 9/365 9/509 9/543 9/950 9/959 9/982 9/1101 9/1108
Brockhaus, Friedrich Arnold;36076;9/216 9/375
Raabe, Karl Joseph;44856;9/218 9/779 9/1155
Lechner, Johann Leonhard Sixtus;39046;9/221 9/479
Grüner, Joseph Sebastian;37671;9/222 9/316 9/531 9/836 9/1012 9/1017 9/1025 9/1071 9/1133 9/1202 9/1402 9/1447 9/1451 9/1487 9/1533 9/1604
Aschendorff, Hermann Jakob Ernst;43012;9/229
Müller, Franz Heinrich;44615;9/235
Henschel, August Wilhelm Eduard Theodor;49780;9/242
Krampitz, Friedrich Wilhelm;50945;9/244
Wölfel, Gottlieb Karl Georg;45765;9/247
Hagen, Ernst August;50165;9/248 9/914 9/1321 9/1392
Weimar, Geographisches Institut;42546;9/252
Sondershausen, Karl Christian;22147;9/253
Gerning, Johann Isaak von;37402;9/255 9/875 9/898 9/1250
Tomaschek, Wenzel Johann;50791;9/262
Pansner, Johann Heinrich Lorenz von;44762;9/264
Heyer und Leske;50225;9/266
Nicolovius, Georg Heinrich Ludwig;44682;9/268 9/284 9/686 9/976 9/1113 9/1200
Rocca, Rocco;51711;9/271
Weigel, Ernst August;53424;9/279
Egloffstein, Karoline Gräfin von und zu;46094;9/281 9/1034 9/1242
Ramann, Gebrüder (Unterzeichner: Gottfried Zechbauer);40507;9/285 9/1111
Zechbauer, Johann ^#s+Gottfried^#s- (1792-nach 1833);47243;9/285 9/1111
Helvig, Anna Amalia von;43958;9/289 9/1403
Cnopf, Johann Konrad (Handels- und Bankhaus);49420;9/296
Leonhard, Karl Cäsar von;39103;9/300 9/609 9/715 9/996 9/1444
Cuno, Heinrich;36518;9/306 9/470
Varnhagen von Ense, Karl August;45583;9/312 9/1137 9/1438
Felix, Gebrüder;37035;9/313
Meyer, Johann Gottlieb (Mineralwasserhandlung);47081;9/314 9/455
Mellish, Joseph Charles;39542;9/318 9/412 9/980 9/1221
Hermann, Johann Gottfried Jakob;43991;9/322 9/517 9/907
Asschenfeldt, Christoph Karl Julius;43013;9/325
Bohte, Johann Heinrich;35901;9/326 9/1357
Köhler, Heinrich Karl Ernst von;38720;9/328 9/1341 9/1602
Münchow, Karl Dietrich von;39876;9/334
Barth, Johann Ambrosius (Verlagsbuchhandlung);35478;9/335 9/1271
Schultz, Christoph Ludwig Friedrich;41393;9/341 9/354 9/363 9/364 9/444 9/457 9/476 9/558 9/631 9/726 9/853 9/866 9/877 9/937 9/1184 9/1441 9/1532 9/1543 9/1560 9/1567 9/1609
Heidler, Karl Joseph;43947;9/343 9/422 9/745 9/1302
Schopenhauer, Adele;45215;9/347 9/441 9/480 9/1083 9/1406
Rengersche Buchhandlung;46589;9/349
Reinhard, Sophie Karoline Friederike Petronella;40613;9/357
Hopffgarten, Karoline Rosine Gräfin von;44069;9/360 9/665
Schwabe, Johann Friedrich Heinrich;45264;9/366 9/397
Boosey & Sons;35931;9/368
Bran, Friedrich Alexander;43213;9/369 9/1010
Meyer, Randolph;39649;9/377
Wetterstrand, Bernhard Gottlieb;45722;9/380 9/521
Laudenbach, Johann Friedrich Ludwig;52105;9/383
Melber, Johanna Maria;44537;9/384 9/1497 9/1498
Paar, Johann Baptist Graf von und Anton Franz Prokesch;;9/387
Prokesch, Anton Franz;50746;9/387 9/1486
Sachsen-Gotha und Altenburg, August Herzog von;45031;9/388
Dannecker, Johann Heinrich von;36555;9/389
Kirchner, Anton, Georg Kloß und Georg Neuburg;;9/390
Kloß, Johann ^#s+Georg^#s- Burkhard Franz (1787-1854);44235;9/390
Neuburg, Johann ^#s+Georg^#s- (1795-1866);44674;9/390
Döring, Johann Michael Heinrich;43491;9/393 9/1180 9/1365
Färber, Dorothea Johanne Marie;43598;9/394 9/735
Gries, Johann Diederich;43824;9/395 9/809 9/1358
? Hand, Ferdinand Gotthelf;43913;9/396
Jena, Sozietät für die gesamte Mineralogie (Unterzeichner: Johann Friedrich Heinrich Schwabe);63646;9/397
Jena, Universität;38404;9/398 9/399
Knebel, Karl Bernhard Maximilian von;44241;9/400
Mejer, Johann Wilhelm;44533;9/401
Riemer, Friedrich Wilhelm;40714;9/405 9/587 9/754 9/769 9/830 9/918 9/946 9/1047 9/1058 9/1069 9/1076 9/1088 9/1097 9/1190 9/1210 9/1265 9/1343 9/1461 9/1608
Sylvestre, Espérance;41919;9/406 9/1189
Lehne, Johann Friedrich Franz;44368;9/408
Vollrath, Karl;51645;9/414 9/415
Edinburgh, Wernerian Natural History Society (Unterzeichner: Robert Jameson);61890;9/416
Jameson, Robert;50790;9/416
Raupach, Karl Eduard;49485;9/417
Peucer, Heinrich Karl Friedrich;44793;9/421 9/1460 9/1524
Seyffarth, Johann Wilhelm;51032;9/424
