id|aufgabe02|aufgabe03
43913|? Hand, Ferdinand Gotthelf|Hand, #1+Ferdinand#1- Gotthelf (1786-1851) 
63646|Jena, Sozietät für die gesamte Mineralogie (Unterzeichner: Johann Friedrich Heinrich Schwabe)|Jena, Sozietät für die gesamte Mineralogie 
38404|Jena, Universität
44241|Knebel, Karl Bernhard Maximilian von
44533|Mejer, Johann Wilhelm|Mejer (Meier), Johann #1+Wilhelm#1- (1789-1871) 
66968|Nicht ermittelt
66969|Nicht ermittelt
40714|Riemer, Friedrich Wilhelm|Riemer, Friedrich Wilhelm (Ps. Silvio Romano) (1774-1845) 
41919|Sylvestre, Espérance|Sylvestre, Espérance (1790-1842) 
44368|Lehne, Johann Friedrich Franz|Lehne, Johann #1+Friedrich#1- Franz (1771-1836) 
51645|Vollrath, Karl
61890|Edinburgh, Wernerian Natural History Society (Unterzeichner: Robert Jameson)|Edinburgh, Wernerian Natural History Society 
50790|Jameson, Robert|brf-
49485|Raupach, Karl Eduard
44793|Peucer, Heinrich Karl Friedrich|Peucer, Heinrich Karl #1+Friedrich#1- (Ps. Eduard Ost) (1779-1849) 
51032|Seyffarth, Johann Wilhelm|Seyffarth, Johann Wilhelm (1772/73-1842) 
42192|Umbreit, Friedrich Wilhelm Karl
43160|Blomberg, Wilhelm Karl Georg von|Wilhelm von ^%^%Blomberg
45830|Ziegesar, Luise Amalie Friederike Auguste von
44917|Reisig, Christian Karl|Reisig, Christian #1+Karl#1- (1792-1829) 
41156|Schinkel, Karl Friedrich|Schinkel, Karl Friedrich (1781-1841) 
43103|Bergius, Auguste Emilie Charlotte|Auguste ^%^%Bergius
43767|Eckhardt, Emilie Henriette Rosamunde Karoline Friederike Luise|Emilie ^%^%Eckardt
43847|Grosse, Karl Friedrich August|Grosse, #1+Karl#1- Friedrich August (Ps. Graf Edouard Romeo Vargas, Graf von Vargas Bedemar u. a.) (1768-1847) 
44573|Meyer, Klemens August
46898|Benckher, Maria Elisabeth|Benckher (Bencker, Benkher), Maria #1+Elisabeth#1- (Elisa), geb. Keyhl (Keyl), verw. Goodall (1760-1829) 
51631|Richter, Gustav
39495|Mazelet, Jeanne Marie Jaqueline Antoinette
36045|Breitkopf & Härtel|Breitkopf & Härtel 
42892|Ziegesar, Anton von|Ziegesar, Anton von (1783-1843) 
36218|Byron, George Gordon|George Gordon ^%^%Byron
49970|Rhesa, Ludwig Jedemin
35960|Both, Karl Friedrich von|Both, #1+Karl#1- Friedrich von (1789-1875) 
35868|Böhringer, August|August ^%^%Böhringer
42359|Voigt, Johann Heinrich|Voigt, Johann Heinrich (1751-1823) 
44681|Nicolovius, Georg Heinrich Franz|Nicolovius, Georg Heinrich #1+Franz#1- (1797-1877) 
41795|Stieglitz, Christian Ludwig|Stieglitz, Christian Ludwig (1756-1836) 
40417|Potsdam, Deputation der Märkischen Ökonomischen Gesellschaft zu (Unterzeichner: Gustav von Brenn, Friedrich Ludwig Augustin, Ludwig Albrecht Bosselmann, Elias Daniel Hitzig, Karl Christian Horvath, Karl Jahn, Karl Friedrich Klöden, Isaak Lehweß, Samuel Friedrich Polchow, Heinrich Karl Philipp Schmidt, Karl Emanuel Schroeder, Johann Gottlob Schulze, Johann Karl Ludwig Schulze, Wilhelm Sello und Wilhelm von Türk)|Potsdam, Deputation der Märkischen Ökonomischen Gesellschaft zu 
43244|Brenn, #s+Gustav#s- Adolf Ewald von (1772-1838)|Brenn, #1+Gustav#1- Adolf Ewald von (1772-1838) 
35383|Augustin, Friedrich Ludwig (1776-1854)|brf-
45979|Bosselmann, Christian #s+Ludwig#s- #s+Albrecht#s- (1763-1831)|brf-
38135|Hitzig, Elias Daniel (bis 1808: Itzig) (1755-1818)|brf-
38240|Horvath, Karl Christian (1752-1837)|brf-
